trial,use_era5,use_s2,lookback,hidden_size,seed,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
b03_full_h128_s07,True,True,30,128,7,1.1334441900253296,0.6664592027664185,0.9664061665534973,1.286575436592102,0.7592819333076477,0.9600279927253723
b03_full_h128,True,True,30,128,42,1.1633145809173584,0.669669508934021,0.9646122455596924,1.3172358274459839,0.7666540741920471,0.9581001400947571
b03_full_h128_s123,True,True,30,128,123,1.1901001930236816,0.7090425491333008,0.9629638195037842,1.295939326286316,0.7565786838531494,0.959443986415863
a02_era5_no_s2,True,False,30,64,42,1.190697431564331,0.6945199370384216,0.9629266262054443,1.2991209030151367,0.7453650832176208,0.9592446088790894
a01_full_l30_h64,True,True,30,64,42,1.2065225839614868,0.6757033467292786,0.9619346261024475,1.2941302061080933,0.7404726147651672,0.9595571756362915
b04_full_f128,True,True,30,64,42,1.2066010236740112,0.6984288096427917,0.9619296789169312,1.3055057525634766,0.7597221732139587,0.9588430523872375
a03_salinity_only,False,False,30,128,42,1.2201658487319946,0.662864625453949,0.961068868637085,1.2654153108596802,0.7041295170783997,0.9613319635391235
b02_full_l60,True,True,60,64,42,1.2272294759750366,0.7108026742935181,0.9606168270111084,1.3081644773483276,0.7540795207023621,0.9586752653121948
b01_full_l14,True,True,14,64,42,1.2291923761367798,0.684215784072876,0.9605101346969604,1.2791364192962646,0.7187567353248596,0.9604888558387756
b05_full_small,True,True,30,32,42,1.270020604133606,0.7484326958656311,0.9578225016593933,1.3160276412963867,0.7750647664070129,0.9581769704818726
